000000	Officially Xerox
54DF63	Intrakey technologies GmbH
54E032	Juniper Networks
54E061	Sichuan Tianyi Comheart Telecomco.
54E1AD	LCFC(HeFei) Electronics Technology co.
54E2C8	Dongguan Aoyuan Electronics Technology Co.
54E2E0	ARRIS Group
54E3B0	JVL Industri Elektronik
54E3F6	Alcatel-Lucent
54E43A	Apple
54E4BD	Fn-Link Technology Limited
54E63F	ShenZhen LingKeWeiEr Technology Co.
54E6FC	Tp-Link Technologies Co.
54EAA8	Apple
54EDA3	Navdy
54EE75	Wistron InfoComm(Kunshan)Co.
54EF92	Shenzhen Elink Technology Co.
54EFFE	Fullpower Technologies
54F201	Samsung Electronics Co.
54F5B6	Oriental Pacific International Limited
54F666	Berthold Technologies GmbH and Co.KG
54F6C5	Fujian Star-Net Communication Co.
54F876	Abb Ag
54FA3E	Samsung Electronics Co.
54FB58	WISEWARE
54FCF0	Samsung Electronics Co.
54FDBF	Scheidt & Bachmann GmbH
54FF82	Davit Solution co.
54FFCF	Mopria Alliance
565857	Aculab plc
5800BB	Juniper Networks
5800E3	Liteon Technology Corporation
5803FB	Hangzhou Hikvision Digital Technology Co.
580454	Icomm Hk Limited
5804CB	Tianjin Huisun Technology Co.
580528	Labris Networks
580556	Elettronica GF S.r.L.
5808FA	Fiber Optic & telecommunication INC.
5809E5	Kivic Inc.
580A20	Cisco Systems
58108C	Intelbras
581243	AcSiP Technology Corp.
581626	Avaya Inc
58170C	Sony Mobile Communications Inc
5819F8	ARRIS Group
581D91	Advanced Mobile Telecom co.
581F28	Huawei Technologies Co.
581F67	Open-m technology limited
581FAA	Apple
581FEF	Tuttnaer LTD
5820B1	Hewlett Packard
582136	KMB systems
58238C	Technicolor CH USA Inc.
582AF7	Huawei Technologies Co.
582BDB	Pax AB
582D34	Qingping Electronics (Suzhou) Co.
582EFE	Lighting Science Group
582F40	Nintendo Co.
582F42	Universal Electric Corporation
583277	Reliance Communications LLC
58343B	Glovast Technology Ltd.
5835D9	Cisco Systems
583879	Ricoh Company
583BD9	Fiberhome Telecommunication Technologies Co.
583CC6	Omneality Ltd.
583F54	LG Electronics (Mobile Communications)
58404E	Apple
5842E4	Baxter International Inc
584498	Xiaomi Communications Co Ltd
58468F	Koncar Electronics and Informatics
5846E1	Baxter International Inc
584704	Shenzhen Webridge Technology Co.
584822	Sony Mobile Communications Inc
584925	E3 Enterprise
58493B	Palo Alto Networks
5849BA	Chitai Electronic Corp.
584C19	Chongqing Guohong Technology Development Company Limited
584CEE	Digital One Technologies
585076	Linear Equipamentos Eletronicos SA
5850AB	TLS Corporation
5850E6	Best Buy Corporation
58528A	Mitsubishi Electric Corporation
5853C0	Beijing Guang Runtong Technology Development Company co.
5855CA	Apple
5856E8	ARRIS Group
58570D	Danfoss Solar Inverters
585FF6	zte corporation
58605F	Huawei Technologies Co.
586163	Quantum Networks (SG) Pte. Ltd.
586356	Fn-Link Technology Limited
58639A	Tpl Systemes
5865E6	Infomark Co.
5866BA	Hangzhou H3C Technologies Co.
58671A	Barnes&Noble
58677F	Clare Controls Inc.
58685D	Tempo Australia Pty Ltd
58696C	Ruijie Networks Co.
5869F9	Fusion Transactive Ltd.
586AB1	Hangzhou H3C Technologies Co.
586B14	Apple
586D8F	Cisco-Linksys
5870C6	Shanghai Xiaoyi Technology Co.
587521	CJSC RTSoft
587675	Beijing ECHO Technologies Co.
5876C5	Digi I'S Ltd
587A4D	Stonesoft Corporation
587A62	Texas Instruments
587A6A	Guangdong Oppo Mobile Telecommunications Corp.
587BE9	AirPro Technology India Pvt. Ltd
587E61	Qingdao Hisense Communications Co.
587F57	Apple
587F66	Huawei Technologies Co.
587FB7	Sonar Industrial Co.
58821D	H. Schomäcker GmbH
5882A8	Microsoft
5884E4	IP500 Alliance e.V.
58856E	Qsc Ag
58874C	Lite-On Clean Energy Technology Corp.
5887E2	Shenzhen Coship Electronics Co.
588A5A	Dell Inc.
588BF3	Zyxel Communications Corporation
588D09	Cisco Systems
588D64	Xi'an Clevbee Technology Co.
589043	Sagemcom Broadband SAS
5891CF	Intel Corporate
58920D	Kinetic Avionics Limited
589396	Ruckus Wireless
5893D8	Texas Instruments
58946B	Intel Corporate
5894CF	Vertex Standard LMR
58971E	Cisco Systems
5897BD	Cisco Systems
589835	Technicolor
58986F	Revolution Display
589B0B	Shineway Technologies
589CFC	FreeBSD Foundation
589EC6	Gigaset Communications GmbH
58A0CB	TrackNet
58A2B5	LG Electronics (Mobile Communications)
58A48E	PixArt Imaging Inc.
58A76F	iD corporation
58A839	Intel Corporate
58AC78	Cisco Systems
58B035	Apple
58B0D4	ZuniData Systems Inc.
58B10F	Samsung Electronics Co.
58B3FC	Shenzhen Rf-Link Technology Co.
58B42D	YSTen Technology Co.
58B568	Securitas Direct España
58B633	Ruckus Wireless
58B961	SOLEM Electronique
58B9E1	Crystalfontz America
58BAD4	Huawei Technologies Co.
58BC27	Cisco Systems
58BC8F	Cognitive Systems Corp.
58BDA3	Nintendo Co.
58BFEA	Cisco Systems
58C17A	Cambium Networks Limited
58C232	NEC Corporation
58C38B	Samsung Electronics Co.
58C583	Itel Mobile Limited
58C5CB	Samsung Electronics Co.
58C6F0	Guangdong Oppo Mobile Telecommunications Corp.
58C876	China Mobile (Hangzhou) Information Technology Co.
58C935	Chiun Mai Communication Systems
58CB52	Google
58CF4B	Lufkin Industries
58D071	BW Broadcast
58D08F	IEEE 1904.1 Working Group
58D56E	D-Link International
58D6D3	Dairy Cheq Inc
58D759	Huawei Technologies Co.
58D9C3	Motorola Mobility LLC
58D9D5	Tenda Technology Co.
58DB15	Tecno Mobile Limited
58DB8D	Fast Co.
58DC6D	Exceptional Innovation
58E02C	Micro Technic A/S
58E16C	Ying Hua Information Technology (Shanghai)Co.
58E28F	Apple
58E326	Compass Technologies Inc.
58E476	Centron Communications Technologies Fujian Co.
58E636	EVRsafe Technologies
58E6BA	Apple
58E747	Deltanet AG
58E808	Autonics Corporation
58E876	IEEE Registration Authority
58E876100000/28	Beijing Perabytes IS Technology Co.
58E876200000/28	Coala Life AB
58E876300000/28	McWong International Inc
58E876400000/28	Probit Srl
58E876500000/28	Broad Air Technology Co.
58E876600000/28	DivioTec Inc.
58E876700000/28	Chronos Technology Ltd.
58E876800000/28	Chengdu Vision-Zenith Technology Co.
58E876900000/28	TEM Mobile Limited
58E876A00000/28	Shenzhen Digissin Technology
58E876B00000/28	Annapurna labs
58E876C00000/28	Kustom Signals Inc
58E876D00000/28	Xiamen Cacamle Technology Co.
58E876E00000/28	Baoruh Electronic Co.
58EB14	Proteus Digital Health
58ECE1	Newport Corporation
58ECED	Integrated Device Technology (Malaysia) Sdn. Bhd.
58EECE	Icon Time Systems
58EF68	Belkin International Inc.
58F102	BLU Products Inc.
58F39C	Cisco Systems
58F496	Source Chain
58F67B	Xia Men UnionCore Technology LTD.
58F6BF	Kyoto University
58F987	Huawei Technologies Co.
58F98E	SECUDOS GmbH
58FB84	Intel Corporate
58FC73	Arria Live Media
58FCDB	IEEE Registration Authority
58FCDB000000/28	Spang Power Electronics
58FCDB100000/28	Certis Technology International
58FCDB200000/28	Beseye Cloud Security Co. Ltd.
58FCDB300000/28	Custom Biogenic Systems
58FCDB400000/28	Inforce Computing Inc.
58FCDB500000/28	Shenzhen Siecom Communication Technology Development Co.
58FCDB600000/28	Timex Group USA Inc
58FCDB700000/28	Open Roads Consulting
58FCDB800000/28	Shanghai Qianjin Electronic Equipment Co. Ltd
58FCDB900000/28	Hi-Target Surveying Instrument Co.
58FCDBA00000/28	Xmodus Systems GmbH
58FCDBB00000/28	Swarco Traffic Systems Gmbh
58FCDBC00000/28	Excenon Mobile Technology Co.
58FCDBD00000/28	Xiamen Leelen Technology Co.
58FCDBE00000/28	Applied Device Technologies
58FD20	Bravida Sakerhet AB
58FDBE	Shenzhen Taikaida Technology Co.
5ACBD3	Simaudio Ltd
5AE660	nyantec GmbH
5C0038	Viasat Group S.p.A.
5C026A	Applied Vision Corporation
5C0339	Huawei Technologies Co.
5C076F	Thought Creator
5C0947	Apple
5C0979	Huawei Technologies Co.
5C0A5B	Samsung Electro Mechanics Co.
5C0C0E	Guizhou Huaxintong Semiconductor Technology Co Ltd
5C0CBB	CELIZION Inc.
5C0E8B	Extreme Networks
5C1193	Seal One AG
5C1437	Thyssenkrupp Aufzugswerke GmbH
5C15E1	Aidc Technology (S) Pte Ltd
5C16C7	Big Switch Networks
5C1737	I-View Now
5C18B5	Talon Communications
5C1A6F	Cambridge Industries(Group) Co.
5C1CB9	vivo Mobile Communication Co.
5C1DD9	Apple
5C20D0	Asoni Communication Co.
5C22C4	Dae Eun Eletronics Co.
5C2443	O-Sung Telecom Co.
5C2479	Baltech AG
5C254C	Avire Global Pte Ltd
5C260A	Dell Inc.
5C2623	WaveLynx Technologies Corporation
5C2AEF	Open Access Pty Ltd
5C2BF5	Vivint Wireless Inc.
5C2E59	Samsung Electronics Co.
5C2ED2	ABC(XiSheng) Electronics Co.
5C313E	Texas Instruments
5C32C5	Teracom Ltd.
5C3327	Spazio Italia srl
5C335C	Swissphone Telecom AG
5C338E	Alpha Networks Inc.
5C353B	Compal Broadband Networks
5C35DA	There Corporation Oy
5C36B8	TCL King Electrical Appliances (Huizhou) Co.
5C38E0	Shanghai Super Electronics Technology Co.
5C3B35	Gehirn Inc.
5C3C27	Samsung Electronics Co.
5C4058	Jefferson Audio Video Systems
5C415A	Amazon.com
5C41E7	Wiatec International Ltd.
5C43D2	Hazemeyer
5C4527	Juniper Networks
5C4979	AVM Audiovisuelles Marketing und Computersysteme GmbH
5C497D	Samsung Electronics Co.
5C4A1F	Sichuan Tianyi Comheart Telecomco.
5C4A26	Enguity Technology Corp
5C4CA9	Huawei Technologies Co.
5C5015	Cisco Systems
5C514F	Intel Corporate
5C5181	Samsung Electronics Co.
5C5188	Motorola Mobility LLC
5C521E	Nintendo Co.
5C546D	Huawei Technologies Co.
5C56ED	3pleplay Electronics Private Limited
5C571A	ARRIS Group
5C57C8	Nokia Corporation
5C5819	Jingsheng Technology Co.
5C5948	Apple
5C5B35	Mist Systems
5C5BC2	YIK Corporation
5C5EAB	Juniper Networks
5C5F67	Intel Corporate
5C63BF	Tp-Link Technologies Co.
5C63C9	Intellithings Ltd.
5C6776	IDS Imaging Development Systems GmbH
5C6A7D	Kentkart Ege Elektronik San. Ve Tic. Ltd. Sti.
5C6A80	Zyxel Communications Corporation
5C6B32	Texas Instruments
5C6B4F	Hello Inc.
5C6D20	Hon Hai Precision Ind. Co.
5C6F4F	S.A. Sistel
5C70A3	LG Electronics (Mobile Communications)
5C7757	Haivision Network Video
5C7776	TCT mobile ltd
5C7D5E	Huawei Technologies Co.
5C81A7	Network Devices Pty Ltd
5C838F	Cisco Systems
5C8486	Brightsource Industries Israel LTD
5C8613	Beijing Zhoenet Technology Co.
5C864A	Secret Labs LLC
5C865C	Samsung Electronics Co.
5C86C1	Dongguan Solum Electronics Co.
5C8778	Cybertelbridge co.
5C8816	Rockwell Automation
5C899A	Tp-Link Technologies Co.
5C89D4	Beijing Banner Electric Co.
5C8A38	Hewlett Packard
5C8D2D	Shanghai Wellpay Information Technology Co.
5C8D4E	Apple
5C8FE0	ARRIS Group
5C93A2	Liteon Technology Corporation
5C95AE	Apple
5C9656	AzureWave Technology Inc.
5C969D	Apple
5C97F3	Apple
5C9960	Samsung Electronics Co.
5C9AD8	Fujitsu Limited
5CA176	Sichuan Tianyi Comheart Telecomco.
5CA178	TableTop Media (dba Ziosk)
5CA39D	Samsung Electro Mechanics Co.
5CA3EB	Lokel s.r.o.
5CA48A	Cisco Systems
5CA86A	Huawei Technologies Co.
5CA933	Luma Home
5CAAFD	Sonos
5CAC4C	Hon Hai Precision Ind. Co.
5CAD76	Shenzhen TCL New Technology Co.
5CADCF	Apple
5CAF06	LG Electronics (Mobile Communications)
5CB066	ARRIS Group
5CB395	Huawei Technologies Co.
5CB3F6	Human
5CB43E	Huawei Technologies Co.
5CB524	Sony Mobile Communications Inc
5CB559	CNEX Labs
5CB6CC	NovaComm Technologies Inc.
5CB8CB	Allis Communications
5CB901	Hewlett Packard
5CBA37	Microsoft Corporation
5CBD9E	Hongkong Miracle Eagle Technology(Group) Limited
5CC213	Fr. Sauter AG
5CC307	Huawei Technologies Co.
5CC5D4	Intel Corporate
5CC6D0	Skyworth Digital Technology(Shenzhen) Co.
5CC6E9	Edifier International
5CC7D7	Azroad Technology Company Limited
5CC999	New H3C Technologies Co.
5CC9D3	Palladium Energy Eletronica Da Amazonia Ltda
5CCA1A	Microsoft Mobile Oy
5CCA32	Theben AG
5CCBCA	Fujian Star-Net Communication Co.
5CCCA0	Gridwiz Inc.
5CCCFF	Techroutes Network Pvt Ltd
5CCD7C	MEIZU Technology Co.
5CCEAD	CDYNE Corporation
5CCF7F	Espressif Inc.
5CD135	Xtreme Power Systems
5CD20B	Yytek Co.
5CD2E4	Intel Corporate
5CD41B	UCZOON Technology Co.
5CD61F	Qardio
5CD998	D-Link Corporation
5CDAD4	Murata Manufacturing Co.
5CDC96	Arcadyan Technology Corporation
5CDD70	Hangzhou H3C Technologies Co.
5CE0C5	Intel Corporate
5CE0CA	FeiTian United (Beijing) System Technology Co.
5CE0F6	NIC.br- Nucleo de Informacao e Coordenacao do Ponto BR
5CE223	Delphin Technology AG
5CE286	Nortel Networks
5CE28C	Zyxel Communications Corporation
5CE2F4	AcSiP Technology Corp.
5CE30E	ARRIS Group
5CE3B6	Fiberhome Telecommunication Technologies Co.
5CE7BF	New Singularity International Technical Development Co.
5CE8B7	Oraimo Technology Limited
5CE8EB	Samsung Electronics Co.
5CEA1D	Hon Hai Precision Ind. Co.
5CEB4E	R. STAHL HMI Systems GmbH
5CEB68	Cheerstar Technology Co.
5CEE79	Global Digitech Co LTD
5CF207	Speco Technologies
5CF286	IEEE Registration Authority
5CF286000000/28	Hangzhou Signwei Electronics Technology Co.
5CF286100000/28	iSon Tech
5CF286200000/28	Shanghai Notion Information Technology CO.
5CF286300000/28	beijing your wonderful control system technology co.
5CF286400000/28	CHIPSEN Co.
5CF286500000/28	EUROIMMUN Medizinische Labordiagnostika AG
5CF286600000/28	VPInstruments
5CF286700000/28	Access IS
5CF286800000/28	Shenzhen Hivt Technology Co.
5CF286900000/28	Shenzhen VST Automotive Electronics Co.
5CF286A00000/28	Unfors Raysafe AB
5CF286B00000/28	Itron UK Limited
5CF286C00000/28	Sunpet Industries Limited
5CF286D00000/28	BrightSky
5CF286E00000/28	Daisen Electronic Industrial Co.
5CF370	CC&C Technologies
5CF3FC	IBM Corp
5CF4AB	Zyxel Communications Corporation
5CF50D	Institute of microelectronic applications
5CF5DA	Apple
5CF6DC	Samsung Electronics Co.
5CF7C3	Syntech (Hk) Technology Limited
5CF7E6	Apple
5CF821	Texas Instruments
5CF8A1	Murata Manufacturing Co.
5CF938	Apple
5CF96A	Huawei Technologies Co.
5CF9DD	Dell Inc.
5CF9F0	Atomos Engineering P/L
5CFB7C	Shenzhen Jingxun Software Telecommunication Technology Co.
5CFC66	Cisco Systems
5CFF35	Wistron Corporation
5CFFFF	Shenzhen Kezhonglong Optoelectronic Technology Co.
600194	Espressif Inc.
600292	Pegatron Corporation
6002B4	Wistron Neweb Corporation
600308	Apple
600347	Billion Electric Co. Ltd.
6003A6	Inteno Broadband Technology AB
600417	Posbank Co.
60058A	Hitachi Metals
600810	Huawei Technologies Co.
600837	ivvi Scientific(Nanchang)Co.Ltd
600B03	Hangzhou H3C Technologies Co.
600F77	SilverPlus
601199	Siama Systems Inc
601283	Tsb Real Time Location Systems S.L.
60128B	Canon Inc.
601466	zte corporation
6014B3	CyberTAN Technology Inc.
601803	Daikin Air-conditioning (Shanghai) Co.
60182E	ShenZhen Protruly Electronic Ltd co.
601888	zte corporation
601929	Voltronic Power Technology(Shenzhen) Corp.
601970	Huizhou Qiaoxing Electronics Technology Co.
601971	ARRIS Group
601D0F	Midnite Solar
601D91	Motorola Mobility LLC
601E02	EltexAlatau
602101	Guangdong Oppo Mobile Telecommunications Corp.
602103	I4Vine
6021C0	Murata Manufacturing Co.
6024C1	Jiangsu Zhongxun Electronic Technology Co.
60271C	VIDEOR E. Hartig GmbH
602A54	CardioTek B.V.
602AD0	Cisco SPVTG
602E20	Huawei Technologies Co.
6030D4	Apple
60313B	Sunnovo International Limited
603197	Zyxel Communications Corporation
6032F0	Mplus technology
60334B	Apple
603553	Buwon Technology
603696	The Sapling Company
6036DD	Intel Corporate
60380E	Alps Electric Co.
6038E0	Belkin International Inc.
60391F	ABB Ltd
603D26	Technicolor CH USA Inc.
603E7B	Gafachi
603ECA	Cambridge Medical Robotics Ltd
603FC5	Cox Co.
60427F	Shenzhen Chuangwei-Rgb Electronics Co.
6044F5	Easy Digital Ltd.
60455E	Liptel s.r.o.
6045BD	Microsoft
6045CB	ASUSTek COMPUTER INC.
604616	Xiamen Vann Intelligent Co.
604762	Beijing Sensoro Technology Co.
6047D4	FORICS Electronic Technology Co.
604826	Newbridge Technologies Int. Ltd.
6049C1	Avaya Inc
604A1C	SUYIN Corporation
604BAA	Magic Leap
6050C1	Kinetek Sports
60512C	TCT mobile ltd
6052D0	FACTS Engineering
605317	Sandstone Technologies
605464	Eyedro Green Solutions Inc.
605718	Intel Corporate
605BB4	AzureWave Technology Inc.
605F8D	eero inc.
60601F	Sz Dji Technology Co.
6061DF	Z-meta Research LLC
6063F9	Ciholas
6063FD	Transcend Communication Beijing Co.
606405	Texas Instruments
606453	AOD Co.
6064A1	RADiflow Ltd.
606720	Intel Corporate
606944	Apple
60699B	isepos GmbH
606BBD	Samsung Electronics Co.
606BFF	Nintendo Co.
606C66	Intel Corporate
606D3C	Luxshare Precision Industry Company Limited
606DC7	Hon Hai Precision Ind. Co.
606ED0	Seal Ag
60720B	BLU Products Inc
60735C	Cisco Systems
6073BC	zte corporation
60748D	Atmaca Elektronik
6077E2	Samsung Electronics Co.
607EDD	Microsoft Mobile Oy
60812B	Custom Control Concepts
6081F9	Helium Systems
608334	Huawei Technologies Co.
6083B2	GkWare e.K.
60843B	Soladigm
6084BD	Buffalo.Inc
608645	Avery Weigh-Tronix
60893C	Thermo Fisher Scientific P.O.A.
6089B1	Key Digital Systems
6089B7	Kael Mühendi̇sli̇k Elektroni̇k Ti̇caret Sanayi̇ Li̇mi̇ted Şi̇rketi̇
608C2B	Hanson Technology
608C4A	Apple
608CE6	ARRIS Group
608D17	Sentrus Government Systems Division
608E08	Samsung Electronics Co.
608F5C	Samsung Electronics Co.
609084	DSSD Inc
6091F3	vivo Mobile Communication Co.
609217	Apple
6092F5	ARRIS Group
6097DD	MicroSys Electronics GmbH
609813	Shanghai Visking Digital Technology Co. LTD
6099D1	Vuzix / Lenovo
609AA4	Gvi Security Inc.
609AC1	Apple
609BC8	Hipad Intelligent Technology Co.
609C9F	Brocade Communications Systems
609E64	Vivonic GmbH
609F9D	CloudSwitch
60A10A	Samsung Electronics Co.
60A37D	Apple
60A44C	ASUSTek COMPUTER INC.
60A4D0	Samsung Electronics Co.
60A730	Shenzhen Yipinfang Internet Technology Co.
60A9B0	Merchandising Technologies
60AB67	Xiaomi Communications Co Ltd
60ACC8	KunTeng Inc.
60AF6D	Samsung Electronics Co.
60B185	ATH system
60B387	Synergics Technologies GmbH
60B3C4	Elber Srl
60B4F7	Plume Design Inc
60B617	Fiberhome Telecommunication Technologies Co.
60B933	Deutron Electronics Corp.
60B982	RO.VE.R. Laboratories S.p.A.
60BA18	nextLAP GmbH
60BB0C	Beijing HuaqinWorld Technology Co
60BC4C	EWM Hightec Welding GmbH
60BD91	Move Innovation
60BEB5	Motorola Mobility LLC
60C0BF	ON Semiconductor
60C1CB	Fujian Great Power PLC Equipment Co.
60C397	2Wire Inc
60C547	Apple
60C5A8	Beijing LT Honway Technology Co.
60C5AD	Samsung Electronics Co.
60C658	PHYTRONIX Co.
60CBFB	AirScape Inc.
60CDC5	Taiwan Carol Electronics.
60CE92	The Refined Industry Company Limited
60D02C	Ruckus Wireless
60D0A9	Samsung Electronics Co.
60D1AA	Vishal Telecommunications Pvt Ltd
60D21C	Sunnovo International Limited
60D262	Tzukuri Pty Ltd
60D2B9	Realand Bio Co.
60D2DD	Shenzhen Baitong Putian Technology Co.
60D30A	Quatius Limited
60D7E3	IEEE Registration Authority
60D7E3100000/28	Elap s.r.l.
60D7E3200000/28	Novo innovations Ltd
60D7E3300000/28	SKS Automaatio oy
60D7E3400000/28	Hemisphere GNSS
60D7E3500000/28	Revol Technologies inc
60D7E3600000/28	Ameli s.r.l.
60D7E3700000/28	Phase One A/S
60D7E3800000/28	HindlePower
60D7E3900000/28	LongSung Technology (Shanghai) Co.
60D7E3A00000/28	Wilderness Labs Inc.
60D7E3B00000/28	Nextivity
60D7E3C00000/28	Zhejiang Send Intelligent Technology
60D7E3D00000/28	Quantronix
60D7E3E00000/28	HuBDIC CO.
60D819	Hon Hai Precision Ind. Co.
60D9A0	Lenovo Mobile Communication Technology Ltd.
60D9C7	Apple
60DA23	Estech Co.
60DA83	Hangzhou H3C Technologies Co.
60DE44	Huawei Technologies Co.
60DEF3	Huawei Technologies Co.
60E00E	Shinsei Electronics Co Ltd
60E327	Tp-Link Technologies Co.
60E3AC	LG Electronics (Mobile Communications)
60E6BC	Sino-Telecom Technology Co.
60E701	Huawei Technologies Co.
60E956	Ayla Networks
60EB69	Quanta Computer Inc.
60EE5C	Shenzhen Fast Technologies Co.
60EFC6	Shenzhen Chima Technologies Co Limited
60F13D	JABLOCOM s.r.o.
60F189	Murata Manufacturing Co.
60F18A	Huawei Technologies Co.
60F281	Tranwo Technology Co.
60F2EF	VisionVera International Co.
60F3DA	Logic Way GmbH
60F445	Apple
60F494	Hon Hai Precision Ind. Co.
60F59C	CRU-Dataport
60F673	Terumo Corporation
60F677	Intel Corporate
60F81D	Apple
60FA9D	Huawei Technologies Co.
60FACD	Apple
60FB42	Apple
60FD56	WOORISYSTEMS CO.
60FE1E	China Palms Telecom.Ltd
60FE20	2Wire Inc
60FEC5	Apple
60FEF9	Thomas & Betts
60FFDD	C.E. Electronics
64002D	Powerlinq Co.
64006A	Dell Inc.
6400F1	Cisco Systems
6402CB	ARRIS Group
6405BE	New Light Led
6405E9	Shenzhen WayOS Technology Crop.
64094C	Beijing Superbee Wireless Technology Co.
640980	Xiaomi Communications Co Ltd
640B4A	Digital Telecom Technology Limited
640DCE	Shenzhen Mercury Communication Technologies Co.
640DE6	Petra Systems
640E94	Pluribus Networks
640F28	2Wire Inc
641084	HEXIUM Technical Development Co.
641225	Cisco Systems
641269	ARRIS Group
641331	Bosch Car Multimedia (Wuhu) Co. Ltd.
64136C	zte corporation
641666	Nest Labs Inc.
64168D	Cisco Systems
6416F0	Huawei Technologies Co.
641A22	Heliospectra AB
641C67	Digibras Industria Do Brasils/A
641CAE	Samsung Electronics Co.
641CB0	Samsung Electronics Co.
641E81	Dowslake Microsystems
64200C	Apple
64209F	Tilgin AB
642184	Nippon Denki Kagaku Co.
642216	Shandong Taixin Electronic co.
642400	Xorcom Ltd.
64255E	Observint Technologies
642737	Hon Hai Precision Ind. Co.
6429ED	AO "PKK Milandr"
642B8A	ALL BEST Industrial Co.
642DB7	Seungil Electronics
643150	Hewlett Packard
64317E	Dexin Corporation
6432A8	Intel Corporate
643409	BITwave Pte Ltd
64351C	e-CON SYSTEMS INDIA PVT LTD
643AB1	Sichuan Tianyi Comheart Telecomco.
643E8C	Huawei Technologies Co.
644214	Swisscom Energy Solutions AG
644346	GuangDong Quick Network Computer CO.
6447E0	Feitian Technologies Co.
644BC3	Shanghai WOASiS Telecommunications Ltd.
644BF0	CalDigit
644C36	Intel Corporate
644D70	dSPACE GmbH
644F42	JETTER CO.
644F74	LENUS Co.
644FB0	Hyunjin.com
645106	Hewlett Packard
64517E	Long Ben (Dongguan) Electronic Technology Co.
645299	The Chamberlain Group
64535D	Frauscher Sensortechnik
645422	Equinox Payments
645563	Intelight Inc.
64557F	NSFOCUS Information Technology Co.
6455B1	ARRIS Group
645601	Tp-Link Technologies Co.
6458AD	China Mobile IOT Company Limited
6459F8	Vodafone Omnitel B.V.
645A04	Chicony Electronics Co.
645AED	Apple
645D86	Intel Corporate
645D92	Sichuan Tianyi Comheart Telecomco.
645DD7	Shenzhen Lifesense Medical Electronics Co.
645EBE	Yahoo! JAPAN
645FFF	Nicolet Neuro
646038	Hirschmann Automation and Control GmbH
646223	Cellient Co.
64628A	evon GmbH
64649B	Juniper Networks
6465C0	Nuvon
6466B3	Tp-Link Technologies Co.
646707	Beijing Omnific Technology
64680C	Comtrend Corporation
6469BC	Hytera Communications Co.
646A52	Avaya Inc
646A74	Auth-Servers
646CB2	Samsung Electronics Co.
646D6C	Huawei Technologies Co.
646E69	Liteon Technology Corporation
646E6C	Radio Datacom LLC
646EEA	Iskratel d.o.o.
647002	Tp-Link Technologies Co.
647033	Apple
6472D8	GooWi Technology Co.
647366	Shenzhen Siera Technology Ltd
6473E2	Arbiter Systems
6474F6	Shooter Detection Systems
647657	Innovative Security Designs
6476BA	Apple
64777D	Hitron Technologies. Inc
647791	Samsung Electronics Co.
6479A7	Phison Electronics Corp.
647BCE	Samsung Electronics Co.
647BD4	Texas Instruments
647C34	Ubee Interactive Co.
647D81	Yokota Industrial Co
647FDA	TEKTELIC Communications Inc.
64808B	VG Controls
648099	Intel Corporate
648125	Alphatron Marine BV
648788	Juniper Networks
6487D7	ADB Broadband Italia
6488FF	Sichuan Changhong Electric Ltd.
64899A	LG Electronics (Mobile Communications)
6489F1	Samsung Electronics Co.
648D9E	IVT Electronic Co.
649829	Integrated Device Technology (Malaysia) Sdn. Bhd.
6499A0	AG Elektronik AB
649A08	Shenzhen SuperElectron Technology Co.
649A12	P2 Mobile Technologies Limited
649ABE	Apple
649B24	V Technology Co.
649C81	Qualcomm Inc.
649C8E	Texas Instruments
649D99	Fs Com Inc
649EF3	Cisco Systems
649FF7	Kone OYj
64A0E7	Cisco Systems
64A232	OOO Samlight
64A2F9	OnePlus Technology (Shenzhen) Co.
64A341	Wonderlan (Beijing) Technology Co.
64A3CB	Apple
64A5C3	Apple
64A651	Huawei Technologies Co.
64A68F	Zhongshan Readboy Electronics Co.
64A769	HTC Corporation
64A7DD	Avaya Inc
64A837	Juni Korea Co.
64AE0C	Cisco Systems
64AE88	Polytec GmbH
64B0A6	Apple
64B21D	Chengdu Phycom Tech Co.
64B310	Samsung Electronics Co.
64B370	PowerComm Solutions LLC
64B473	Xiaomi Communications Co Ltd
64B5C6	Nintendo Co.
64B64A	ViVOtech
64B853	Samsung Electronics Co.
64B9E8	Apple
64BABD	SDJ Technologies
64BC0C	LG Electronics (Mobile Communications)
64BC11	CombiQ AB
64C2DE	LG Electronics (Mobile Communications)
64C354	Avaya Inc
64C3D6	Juniper Networks
64C5AA	South African Broadcasting Corporation
64C667	Barnes&Noble
64C6AF	AXERRA Networks Ltd
64C753	Apple
64C944	LARK Technologies
64CB5D	SIA "TeleSet"
64CBA3	Pointmobile
64CC22	Arcadyan Corporation
64CC2E	Xiaomi Communications Co Ltd
64CFD9	Texas Instruments
64D02D	Next Generation Integration (NGI)
64D154	Routerboard.com
64D1A3	Sitecom Europe BV
64D241	Keith & Koep GmbH
64D4BD	Alps Electric Co.
64D4DA	Intel Corporate
64D814	Cisco Systems
64D912	Solidica
64D954	Taicang T&W Electronics
64D989	Cisco Systems
64DAA0	Robert Bosch Smart Home GmbH
64DB18	OpenPattern
64DB43	Motorola (Wuhan) Mobility Technologies Communication Co.
64DB81	Syszone Co.
64DB8B	Hangzhou Hikvision Digital Technology Co.
64DBA0	Select Comfort
64DC01	Static Systems Group PLC
64DE1C	Kingnetic Pte Ltd
64E161	DEP Corp.
64E599	EFM Networks
